,R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,B_Country,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_Country,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan
499,Alex Oliveira,Max Griffin,3/7/2020,2,892.125,22,0,0,1,1,3,5,0,1,0,1,1,0,0,180.34,193.04,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,780.7167053,36,0,0,1,3,9,7,0,0,0,2,4,3,0,180.34,193.04,170,34,32,1,0,0,0,0,1,0,0
509,Sean Brady,Ismail Naurdiev,2/29/2020,2,900,9,0,1,0,1,2,1,0,0,0,2,0,0,0,177.8,187.96,170,1,0,0,0,0,0,0,Austria,0,0,0,0,0,1,0,USA,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,177.8,182.88,170,23,27,1,0,0,0,1,0,0,0
519,Jake Matthews,Emil Meek,2/22/2020,2,900,9,0,1,0,1,1,2,0,0,0,1,0,0,0,180.34,187.96,170,1,0,0,0,0,0,0,Norway,0,0,0,0,0,1,0,Australia,746.1142578,28,0,2,0,3,8,4,0,0,1,2,0,4,1,180.34,185.42,170,31,25,1,0,0,0,1,0,0,0
522,Callan Potter,Song Kenan,2/22/2020,0,750,9,0,2,0,2,3,1,0,0,0,1,2,0,0,182.88,180.34,170,1,0,0,0,0,0,0,China,0,1,0,0,0,0,0,Australia,476.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,182.88,182.88,170,29,35,0,0,0,1,1,0,0,0
529,Diego Sanchez,Michel Pereira,2/15/2020,2,503.5,4,0,1,0,1,1,1,0,0,0,0,1,0,0,185.42,185.42,170,1,0,0,0,0,0,0,Brazil,0,0,0,1,0,0,0,USA,739.57967,78,2,6,0,6,18,12,0,0,3,9,6,0,0,177.8,182.88,170,26,38,0,1,0,0,1,0,0,0
554,Rafael Dos Anjos,Michael Chiesa,1/25/2020,0,630.9594727,27,1,2,0,3,9,4,0,0,0,3,0,6,0,185.42,190.5,170,0,0,0,1,0,0,0,USA,0,1,0,0,0,0,0,Brazil,1377.817718,83,4,0,2,5,18,10,0,0,0,10,4,4,0,172.72,177.8,155,32,35,1,0,0,0,1,0,0,0
565,Conor McGregor,Donald Cerrone,1/18/2020,2,537.5534648,71,1,4,0,8,23,10,0,0,0,7,10,6,0,185.42,185.42,155,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,ireland,899.3056641,24,4,7,0,7,9,2,0,1,0,1,7,0,0,175.26,187.96,155,36,31,1,0,0,0,1,0,0,0
585,Geoff Neal,Mike Perry,12/14/2019,2,814.0605469,26,0,2,0,2,6,5,0,0,1,1,4,0,0,177.8,180.34,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,523.375,8,0,4,0,4,4,0,0,0,0,1,2,1,0,180.34,190.5,170,28,29,1,0,0,0,1,0,0,0
590,Kamaru Usman,Colby Covington,12/14/2019,2,1341.679688,33,1,3,0,7,10,1,0,0,0,6,2,2,0,180.34,182.88,170,0,1,0,1,0,0,0,USA,1,0,0,0,0,0,0,Nigeria,1401.107422,33,2,10,0,10,10,0,0,0,0,8,1,1,0,182.88,193.04,170,31,32,1,0,0,0,1,0,0,0
594,Matt Brown,Ben Saunders,12/14/2019,2,324.0712433,35,0,3,0,3,9,9,0,0,1,2,3,3,0,187.96,195.58,170,0,0,0,0,1,0,0,USA,1,0,0,0,0,0,0,USA,376.6284025,54,0,1,0,7,14,10,0,0,0,2,10,2,0,182.88,190.5,170,36,38,0,1,0,0,1,0,0,0
604,Thiago Alves,Tim Means,12/7/2019,0,373.6098557,42,0,2,0,4,10,9,0,0,1,3,5,1,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,873.6552618,64,1,0,1,7,15,11,0,0,1,5,7,1,1,175.26,177.8,170,35,36,1,0,0,0,1,0,0,0
610,Sergio Moraes,James Krause,11/16/2019,0,644.9160156,23,0,1,0,5,7,3,0,0,0,3,2,2,0,187.96,185.42,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,Brazil,813.1865234,34,1,0,1,4,8,5,0,0,2,2,1,3,0,182.88,182.88,170,33,37,1,0,0,0,1,0,0,0
617,Warlley Alves,Randy Brown,11/16/2019,0,680.2421875,21,0,1,0,2,5,3,0,0,0,2,2,1,0,190.5,198.12,170,1,0,0,0,0,0,0,Jamaica,0,1,0,0,0,0,0,Brazil,717.7402344,25,1,4,0,4,7,3,0,0,0,2,1,3,1,180.34,182.88,170,29,28,1,0,0,0,0,1,0,0
624,Zelim Imadaev,Danny Roberts,11/9/2019,0,384.8046875,18,0,2,0,2,5,4,0,0,1,1,2,1,0,185.42,187.96,170,0,0,0,0,0,1,0,england ,0,0,0,0,0,1,0,Russia,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,193.04,170,32,24,1,0,0,0,0,1,0,0
625,Rustam Khabilov,Sergey Khandozhko,11/9/2019,2,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,187.96,170,0,0,0,0,0,1,0,Russia,0,0,0,0,0,1,0,Russia,899.409668,33,0,3,0,6,9,3,0,0,1,6,1,0,1,172.72,185.42,155,27,33,1,0,0,0,1,0,0,0
627,Ramazan Emeev,Anthony Rocco Martin,11/9/2019,0,856.2963867,35,0,0,2,4,8,5,0,0,0,4,1,3,0,182.88,185.42,170,0,1,0,0,0,0,1,USA,0,1,0,0,0,0,0,Russia,900,9,0,3,0,3,3,0,0,0,0,3,0,0,0,177.8,193.04,170,29,32,1,0,0,0,1,0,0,0
636,Stephen Thompson,Vicente Luque,11/2/2019,2,659.293457,22,0,0,1,6,10,2,0,0,1,0,6,3,0,180.34,190.5,170,1,0,0,0,0,0,0,Brazil,0,0,0,0,1,0,0,USA,954.2867432,40,2,1,0,7,9,5,0,0,0,4,5,0,0,182.88,190.5,170,27,36,1,0,0,0,1,0,0,0
637,Jorge Masvidal,Nate Diaz,11/2/2019,2,993.2878923,60,2,5,0,5,15,9,0,0,1,3,2,9,0,182.88,193.04,170,1,1,0,0,0,0,0,USA,1,0,0,1,0,0,0,USA,322.1848602,44,0,2,0,3,11,6,0,0,0,5,5,1,0,180.34,187.96,170,34,34,1,0,0,0,1,0,0,0
646,Lyman Good,Chance Rencountre,11/2/2019,2,711.25,7,0,0,1,2,2,1,0,0,0,1,0,1,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,279.125,7,0,1,0,1,2,2,0,0,0,0,2,0,0,182.88,187.96,170,32,34,0,1,0,0,0,1,0,0
652,Muslim Salikhov,Laureano Staropoli,10/26/2019,2,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,185.42,180.34,170,1,0,0,0,0,0,0,Argentina,1,0,0,0,0,0,0,Russia,396.5,5,0,0,1,2,2,1,0,0,0,0,2,0,0,180.34,177.8,170,26,35,1,0,0,0,1,0,0,0
653,Demian Maia,Ben Askren,10/26/2019,2,102.5,2,0,1,0,1,1,1,0,0,0,0,0,1,0,180.34,185.42,170,0,0,0,1,0,0,0,USA,0,1,0,0,0,0,0,Brazil,801.8741637,82,2,5,0,7,21,9,0,1,1,8,1,10,0,185.42,182.88,170,35,41,1,0,0,0,1,0,0,0
678,Niko Price,James Vick,10/12/2019,2,398.6157227,26,0,5,0,5,9,4,0,0,0,4,2,3,0,190.5,193.04,155,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,USA,360.7421875,14,0,1,0,2,5,4,0,0,0,0,3,2,0,182.88,193.04,170,32,30,1,0,0,0,1,0,0,0
