R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,Win
Robbie Lawler,Neil Magny,0.5743281977563075,0.8028169014084507,0,1,0,7,16,6,0.9000000000000004,1.0,0.41666666666666696,0.7239616431441961,0.7380952380952381,5,3,0,5,13,8,0.5000000000000009,0.5384615384615383,0.41666666666666696,0.6500000000000001,0.8260869565217394,0.0,1.0,0.0,1.0,0.0,0.0,0
Sean Brady,Christian Aguilera,0.03093476798924008,0.0,0,1,0,1,1,0,0.3000000000000007,0.4285714285714288,0.41666666666666696,0.5943204868154157,0.05952380952380952,0,2,0,2,2,0,0.40000000000000124,0.38461538461538414,0.41666666666666696,0.40000000000000013,0.3478260869565217,1.0,0.0,0.0,0.0,0.0,1.0,2
Daniel Rodriguez,Dwight Grant,0.49546065904505715,0.08450704225352114,0,0,1,2,2,1,0.7000000000000002,0.7142857142857144,0.41666666666666696,0.46484110885733604,0.047619047619047616,0,2,0,2,2,0,0.7000000000000002,0.5384615384615383,0.41666666666666696,0.75,0.6086956521739131,0.0,1.0,0.0,0.0,0.0,1.0,2
Tim Means,Laureano Staropoli,0.5965030262273033,0.11267605633802817,0,2,0,2,2,1,0.7000000000000002,0.35714285714285765,0.41666666666666696,0.2504411520709695,0.5238095238095238,0,2,0,4,11,10,0.8000000000000007,0.615384615384615,0.41666666666666696,0.3500000000000001,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,2
Vicente Luque,Randy Brown,0.3484338222932078,0.3098591549295775,0,1,0,2,6,3,0.9000000000000004,0.8571428571428577,0.41666666666666696,0.5255736066651876,0.3214285714285714,0,0,1,6,11,3,0.5000000000000009,0.615384615384615,0.41666666666666696,0.5,0.39130434782608714,1.0,0.0,0.0,1.0,0.0,0.0,2
Alex Oliveira,Peter Sobotta,0.47240669132481505,0.295774647887324,0,0,3,2,4,5,0.6000000000000005,0.6428571428571432,0.41666666666666696,0.5539948293854853,0.45238095238095233,0,0,1,3,10,7,0.5000000000000009,0.6923076923076925,0.41666666666666696,0.6500000000000001,0.5652173913043479,1.0,0.0,0.0,0.0,1.0,0.0,2
Nicolas Dalby,Jesse Ronson,0.5965030262273033,0.11267605633802817,0,0,3,0,0,3,0.40000000000000124,0.2857142857142865,0.41666666666666696,0.5943204868154157,0.16666666666666663,0,1,0,1,2,3,0.5000000000000009,0.5384615384615383,0.41666666666666696,0.7000000000000002,0.6956521739130435,1.0,0.0,0.0,0.0,1.0,0.0,1
Elizeu Zaleski dos Santos,Muslim Salikhov,0.42720242098184263,0.09859154929577466,0,0,1,3,3,1,0.5000000000000009,0.2857142857142865,0.41666666666666696,0.4933377176301555,0.2857142857142857,0,0,1,7,8,2,0.5000000000000009,0.4615384615384608,0.41666666666666696,0.8,0.6086956521739131,1.0,0.0,0.0,1.0,0.0,0.0,0
Kamaru Usman,Jorge Masvidal,0.4022141426460969,0.647887323943662,0,2,0,3,12,6,0.5000000000000009,0.5714285714285721,0.41666666666666696,0.9496644428245435,0.4404761904761904,3,11,0,11,11,0,0.6000000000000005,0.6923076923076925,0.41666666666666696,0.75,0.6086956521739131,0.0,0.0,1.0,1.0,0.0,0.0,2
Mike Perry,Mickey Gall,0.44076790517821113,0.16901408450704225,0,3,0,3,5,2,0.8000000000000007,0.5714285714285721,0.41666666666666696,0.29143358582657203,0.3095238095238095,0,2,0,2,6,6,0.40000000000000124,0.3076923076923075,0.41666666666666696,0.40000000000000013,0.39130434782608714,1.0,0.0,0.0,0.0,0.0,1.0,2
Belal Muhammad,Lyman Good,0.32821956960322796,0.1267605633802817,0,1,0,1,3,2,0.6000000000000005,0.5714285714285721,0.41666666666666696,0.5295557069810682,0.3214285714285714,0,0,1,4,7,3,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.75,0.5217391304347827,1.0,0.0,0.0,1.0,0.0,0.0,2
Neil Magny,Anthony Rocco Martin,0.5818077964757061,0.5211267605633804,0,0,2,4,9,5,0.6000000000000005,0.5,0.41666666666666696,0.549730939910249,0.6428571428571429,0,1,0,7,15,6,0.9000000000000004,1.0,0.41666666666666696,0.5,0.5652173913043479,1.0,0.0,0.0,1.0,0.0,0.0,2
Tyron Woodley,Gilbert Burns,0.31916329871910726,0.4225352112676057,0,3,0,5,11,3,0.40000000000000124,0.35714285714285765,0.41666666666666696,0.8172679227941176,0.42857142857142855,6,1,0,3,9,4,0.3000000000000007,0.5384615384615383,0.41666666666666696,0.6500000000000001,0.8260869565217394,1.0,0.0,0.0,1.0,0.0,0.0,0
Matt Brown,Miguel Baeza,0.2952252858103564,0.014084507042253521,0,1,0,1,1,0,0.8000000000000007,0.5714285714285721,0.41666666666666696,0.31427599813101503,0.6547619047619048,0,1,0,7,15,10,0.6000000000000005,0.615384615384615,0.41666666666666696,0.3500000000000001,0.8695652173913045,1.0,0.0,0.0,1.0,0.0,0.0,0
Anthony Pettis,Donald Cerrone,0.18545846158726906,1.0,1,4,0,8,23,11,0.7000000000000002,0.5,0.16666666666666696,0.3751956818472944,0.5238095238095238,4,0,1,5,9,9,0.40000000000000124,0.38461538461538414,0.16666666666666696,0.8500000000000001,0.6086956521739131,1.0,0.0,0.0,1.0,0.0,0.0,2
Vicente Luque,Niko Price,0.14752595410221922,0.19718309859154928,0,1,0,2,6,4,0.6000000000000005,0.7142857142857144,0.41666666666666696,0.5129457258388269,0.2857142857142857,0,0,1,6,10,3,0.5000000000000009,0.615384615384615,0.41666666666666696,0.5,0.39130434782608714,1.0,0.0,0.0,1.0,0.0,0.0,2
Elizeu Zaleski dos Santos,Aleksei Kunchenko,0.5965030262273033,0.11267605633802817,0,2,0,2,2,1,0.20000000000000107,0.2857142857142865,0.41666666666666696,0.3923549484448952,0.24999999999999994,0,0,1,7,7,2,0.5000000000000009,0.4615384615384608,0.41666666666666696,0.75,0.6086956521739131,1.0,0.0,0.0,1.0,0.0,0.0,2
Demian Maia,Gilbert Burns,0.5435048086016309,0.4084507042253521,0,3,0,4,10,3,0.40000000000000124,0.35714285714285765,0.41666666666666696,0.5388350790036568,1.0,2,5,0,7,22,9,0.7000000000000002,0.38461538461538414,0.41666666666666696,0.6500000000000001,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
Neil Magny,Li Jingliang,0.5650395878866846,0.3943661971830986,0,1,0,4,9,3,0.6000000000000005,0.35714285714285765,0.41666666666666696,0.5051413930050822,0.6071428571428572,0,1,0,7,14,6,0.9000000000000004,1.0,0.41666666666666696,0.55,0.5652173913043479,1.0,0.0,0.0,1.0,0.0,0.0,2
Alex Oliveira,Max Griffin,0.5912071284465367,0.295774647887324,0,0,1,1,3,5,0.5000000000000009,0.7142857142857144,0.41666666666666696,0.5136691719555548,0.41666666666666663,0,0,1,3,9,7,0.5000000000000009,0.6923076923076925,0.41666666666666696,0.7000000000000002,0.5652173913043479,1.0,0.0,0.0,1.0,0.0,0.0,2
Sean Brady,Ismail Naurdiev,0.5965030262273033,0.11267605633802817,0,1,0,1,2,1,0.40000000000000124,0.5714285714285721,0.41666666666666696,0.5943204868154157,0.023809523809523808,0,1,0,1,1,0,0.40000000000000124,0.38461538461538414,0.41666666666666696,0.15000000000000013,0.3478260869565217,1.0,0.0,0.0,1.0,0.0,0.0,2
