R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Jake Matthews,Rostem Akman,900,3,0,0,1,0,0,1,177.8,182.88,170,592.2285156,25,0,2,0,3,7,4,180.34,185.42,170,27,25,0,2,2,2
Luke Jumeau,Dhiego Lima,620.5703125,15,2,0,1,2,3,5,187.96,190.5,170,900,9,0,1,0,1,2,1,180.34,182.88,170,30,31,0,0,0,0
Nicolas Dalby,Alex Oliveira,661.4334106,33,0,0,1,3,9,6,180.34,193.04,170,900,12,0,1,0,1,1,3,180.34,187.96,170,31,34,0,0,0,2
Gunnar Nelson,Gilbert Burns,742.3833008,27,0,3,0,3,9,3,177.8,180.34,170,659.8369141,26,0,4,0,4,8,4,180.34,182.88,170,33,31,2,0,-2,0
Siyar Bahadurzada,Ismail Naurdiev,900,6,0,1,0,1,1,1,177.8,187.96,170,722.28125,17,0,1,0,3,4,3,180.34,185.42,170,23,35,0,0,0,0
Belal Muhammad,Takashi Sato,378,2,0,1,0,1,1,0,177.8,185.42,170,893.4257813,25,0,0,1,4,6,3,180.34,182.88,170,29,31,0,1,1,2
Nordine Taleb,Muslim Salikhov,527,4,0,0,1,1,1,1,180.34,177.8,170,660.9960938,26,0,3,0,3,7,4,185.42,187.96,170,35,38,0,0,0,0
Li Jingliang,Elizeu Zaleski dos Santos,311.5859375,19,0,0,1,7,7,1,180.34,185.42,170,815.4277344,26,0,1,0,4,8,3,182.88,180.34,170,32,31,0,0,0,2
Song Kenan,Derrick Krantz,232,1,0,0,1,0,0,1,177.8,182.88,170,600,6,0,2,0,2,2,1,182.88,180.34,170,31,29,0,0,0,2
Anthony Pettis,Nate Diaz,1086.575785,57,2,5,0,5,14,9,182.88,193.04,170,591.6576538,40,4,0,1,5,9,7,177.8,182.88,155,34,32,0,1,1,0
Vicente Luque,Mike Perry,728.1210938,23,0,2,0,2,6,4,177.8,180.34,170,418.5869141,19,0,0,1,5,9,2,180.34,190.5,170,27,27,0,0,0,2
Gilbert Burns,Aleksei Kunchenko,900,6,0,2,0,2,2,0,172.72,177.8,170,584.7666016,24,0,3,0,3,8,3,177.8,180.34,170,35,33,0,0,0,2
Colby Covington,Robbie Lawler,683.4785404,58,5,3,0,5,13,7,180.34,187.96,170,1183.359375,28,1,3,0,6,9,1,180.34,182.88,170,37,31,0,1,1,2
Mickey Gall,Salim Touahri,900,6,0,0,2,0,0,2,177.8,182.88,170,436.84375,10,0,3,0,3,4,2,187.96,187.96,170,29,27,2,0,-2,2
Geoff Neal,Niko Price,262.484375,12,0,1,0,2,5,3,182.88,193.04,170,587.75,6,0,3,0,3,3,0,180.34,190.5,170,29,28,1,0,-1,2
Erik Koch,Kyle Stewart,145,1,0,0,1,0,0,1,182.88,193.04,170,772.140625,19,0,2,0,2,4,5,177.8,180.34,170,30,30,1,0,-1,2
Rafael Dos Anjos,Leon Edwards,1047.144531,33,0,0,1,7,9,2,187.96,187.96,170,1255.635436,78,4,0,2,5,18,9,172.72,177.8,155,27,34,1,1,0,0
Jorge Masvidal,Ben Askren,200,1,0,1,0,1,1,0,180.34,185.42,170,639.3697205,43,0,2,0,3,10,6,180.34,187.96,170,34,34,0,0,0,2
