,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
383,Kamaru Usman,Jorge Masvidal,2020-07-11,611.0924301147461,47,0,2,0,3,12,6,0,0,0,5,5,1,1,180.34,187.96,170.0,1425.5537109375,38,3,11,0,11,11,0,0,0,0,8,2,1,0,182.88,193.04,170.0,35.0,33.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
394,Mike Perry,Mickey Gall,2020-06-27,668.421875,13,0,3,0,3,5,2,0,0,0,1,0,4,0,187.96,187.96,170.0,452.0302734375,27,0,2,0,2,6,6,0,0,1,1,4,0,0,177.8,180.34,170.0,28.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
403,Belal Muhammad,Lyman Good,2020-06-20,501.0625,10,0,1,0,1,3,2,0,0,0,0,3,0,0,182.88,187.96,170.0,804.212890625,28,0,0,1,4,7,3,0,0,1,4,1,1,0,180.34,182.88,170.0,35.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
428,Neil Magny,Anthony Rocco Martin,2020-06-06,878.148193359375,38,0,0,2,4,9,5,0,0,0,5,1,3,0,182.88,185.42,170.0,834.0520601272583,55,0,1,0,7,15,6,0,0,1,8,5,1,0,190.5,203.2,170.0,30.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
439,Tyron Woodley,Gilbert Burns,2020-05-30,487.5958251953125,31,0,3,0,5,11,3,0,0,0,4,3,4,0,177.8,180.34,170.0,1229.7392578125,37,6,1,0,3,9,4,0,1,1,1,5,1,0,175.26,187.96,170.0,33.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
450,Matt Brown,Miguel Baeza,2020-05-16,452.0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,187.96,187.96,170.0,485.8142012357712,56,0,1,0,7,15,10,0,0,0,2,11,2,0,182.88,190.5,170.0,27.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
467,Anthony Pettis,Donald Cerrone,2020-05-09,288.77673238026915,72,1,4,0,8,23,11,0,0,0,7,10,6,0,185.42,185.42,155.0,575.9144134521483,45,4,0,1,5,9,9,0,0,1,1,3,4,0,177.8,182.88,155.0,37.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
473,Vicente Luque,Niko Price,2020-05-09,232.37109375,15,0,1,0,2,6,4,0,0,0,0,4,2,0,182.88,193.04,170.0,779.646728515625,25,0,0,1,6,10,3,0,0,1,0,6,3,0,180.34,190.5,170.0,30.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
480,Elizeu Zaleski dos Santos,Aleksei Kunchenko,2020-03-14,900.0,9,0,2,0,2,2,1,0,0,0,2,0,0,0,172.72,177.8,170.0,601.29296875,22,0,0,1,7,7,2,0,0,1,2,3,1,0,180.34,185.42,170.0,35.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
482,Demian Maia,Gilbert Burns,2020-03-14,821.191650390625,30,0,3,0,4,10,3,0,0,0,4,2,4,0,177.8,180.34,170.0,817.9370818464085,85,2,5,0,7,22,9,0,1,1,8,1,11,0,185.42,182.88,170.0,33.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
